EXP_NUM	METHOD	DATASET	MODEL	BA
0	ohe	aci	xgboost	85.90511285122064
0	ohe	aci	tabnet	85.014586212191
0	ohe	aci	ftt	86.39643789344387
0	ohe	aci	saint	86.36573
0	converted	aci	xgboost	85.39843390142792
0	converted	aci	tabnet	85.45984953170583
0	converted	aci	ftt	86.08935974205436
0	converted	aci	saint	86.319664
0	ordinal	aci	tabnet	85.52126516198373
0	ordinal	aci	xgboost	85.18347919545525
0	ordinal	aci	saint	85.73622
0	ordinal	aci	ftt	86.39643789344387
0	ordinal	aci	ftt	85.70551205281744
0	ohe	bm	tabnet	84.32601880877742
0	ohe	bm	xgboost	85.80385132109271
0	ohe	bm	ftt	83.56471115091804
0	ohe	bm	saint	84.59471
0	converted	bm	xgboost	85.53515450067174
0	converted	bm	tabnet	82.98253470667264
0	converted	bm	ftt	82.17644424540977
0	converted	bm	saint	84.997765
0	ordinal	bm	tabnet	81.81818181818183
0	ordinal	bm	xgboost	85.26645768025078
0	ordinal	bm	saint	85.44559
0	ordinal	bm	ftt	87.01298701298701
0	ordinal	bm	ftt	85.26645768025078
0	ohe	covtype	xgboost	96.49922979613264
0	ohe	covtype	saint	96.85378
0	ohe	covtype	ftt	96.1756581155392
0	ohe	covtype	tabnet	94.87534745230327
0	converted	covtype	tabnet	94.4820701703054
0	converted	covtype	xgboost	96.51041711487656
0	converted	covtype	ftt	96.11627926989836
0	converted	covtype	saint	96.7531
0	ordinal	covtype	tabnet	94.56296309045378
0	ordinal	covtype	saint	96.946724
0	ordinal	covtype	ftt	96.30216087364354
0	ordinal	covtype	xgboost	96.51041711487656
0	ordinal	covtype	ftt	96.3279777630526
0	ohe	eye_movement	tabnet	57.17550274223034
0	ohe	eye_movement	xgboost	72.71480804387569
0	ohe	eye_movement	ftt	60.42047531992687
0	ohe	eye_movement	saint	70.06399
0	converted	eye_movement	tabnet	61.10603290676416
0	converted	eye_movement	xgboost	71.75502742230347
0	converted	eye_movement	ftt	60.96892138939671
0	converted	eye_movement	saint	70.38391
0	ordinal	eye_movement	xgboost	71.75502742230347
0	ordinal	eye_movement	tabnet	56.39853747714808
0	ordinal	eye_movement	saint	68.510056
0	ordinal	eye_movement	ftt	60.28336380255942
0	ordinal	eye_movement	ftt	60.10054844606947
0	ohe	kdd99	xgboost	99.9858306765852
0	ohe	kdd99	ftt	99.92915338292596
0	ohe	kdd99	tabnet	0.0101209452962906
0	ohe	kdd99	saint	99.94535
0	converted	kdd99	xgboost	99.98481858205557
0	converted	kdd99	ftt	99.9402864227519
0	converted	kdd99	tabnet	99.69738373564093
0	converted	kdd99	saint	99.95041
0	ordinal	kdd99	xgboost	99.98481858205557
0	ordinal	kdd99	tabnet	99.6518394818076
0	ordinal	kdd99	saint	99.94737
0	ordinal	kdd99	ftt	99.95243155710745
